Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Punishment Pack contents,Notes,,Punishment Pack choice?
11/25/2022 20:15:42,Chris Y - Yorke on Games#66909,Juan Q - JuanCu#95616,2-1,,1,Draw-a-thon,,
11/25/2022 20:37:55,Carl C - TechnicolourArborist#38665,Kevin C - Keviiiiin#67886,2-1,,1,,,
11/25/2022 20:57:34,Richard K - preacher26#59445,Kevin I - kni1993#29285,2-1,,1,,,
11/25/2022 21:13:22,Chris Y - Yorke on Games#66909,Kevin C - Keviiiiin#67886,2-0,,1,Cardflow,,
11/25/2022 22:09:04,Chris Y - Yorke on Games#66909,Dan A - BEATDOWNBRINGA#04779,2-1,,1,Not the Gurgling! Not the Gurgling!!,,
11/25/2022 22:42:18,Zeke W - smarmyplatapus#30066,Chris Y - Yorke on Games#66909,2-0,,1,,,
11/25/2022 22:55:06,Justin P - Code Pigeon#84057,Sylvain T - Iquitos#15484,2-0,,1,,,
11/25/2022 23:07:39,Justin P - Code Pigeon#84057,Dan A - BEATDOWNBRINGA#04779,2-0,,1,,,
11/25/2022 23:35:09,Justin P - Code Pigeon#84057,Doug Co - daceris#24713,2-1,,1,,,
11/25/2022 23:44:02,Chris Y - Yorke on Games#66909,Sylvain T - Iquitos#15484,2-1,,1,Great games!,,
11/25/2022 23:53:31,Dan A - BEATDOWNBRINGA#04779,Jeremy E - Lhurgoyf#37289,2-0,,1,,,
11/26/2022 0:02:40,Mike G - eatmecompletely#43399,Justin P - Code Pigeon#84057,2-1,,1,,,
11/26/2022 0:23:05,Dan A - BEATDOWNBRINGA#04779,Mike G - eatmecompletely#43399,2-0,,1,,,
11/26/2022 0:40:34,Justin P - Code Pigeon#84057,Eric S - Smitte#94855,2-1,,1,,,
11/26/2022 0:41:08,Trevor F - treskies#75643,Doug Co - daceris#24713,2-0,,1,,,
11/26/2022 1:17:15,Trevor F - treskies#75643,Shuo L - Tamamo#30654,2-1,,1,,,
11/26/2022 2:48:32,Carl C - TechnicolourArborist#38665,Paul G - TheDragon#61289,2-0,,1,,,
11/26/2022 3:33:26,Carl C - TechnicolourArborist#38665,Patrick M - FullestJ#22936,2-0,,1,,,
